Name,Position,Website,Role,Notes,Photo
Jared Crean,,http://rpi.edu/,Collaborators,,Yes
Jean Yang,,http://jeanyang.com,Collaborators,CSAIL alum,Yes
Jeremy Kepner,Founding Sponsor (Lincoln Laboratories),http://www.mit.edu/~kepner/,Collaborators,,Yes
Joey Huchette,,http://www.mit.edu/~huchette,Collaborators,,Yes
Jon Malmaud,,http://malmaud.com,Collaborators,Brain and Cognitive Sciences,Yes
Juan Pablo Vielma,,http://www.mit.edu/~jvielma/,Collaborators,,Yes
Matt Bauman,,https://github.com/mbauman,Collaborators,,Yes
Matt Johnson,,,Collaborators,,Yes
Michael F. Herbst,,https://michael-herbst.com/,Collaborators,,Yes
Miles Lubin,,http://www.mit.edu/~mlubin/,Collaborators,,Yes
Simon Kornblith,,http://simonster.com,Collaborators,Brain and Cognitive Sciences,Yes
Spencer Russell,,http://ssfrr.com/,Collaborators,Media Lab,Yes
Steven G. Johnson,,http://math.mit.edu/~stevenj/,Collaborators,Mathematics,Yes
The JuliaOpt team,,http://www.juliaopt.org,Collaborators,,No
Valentin Sulzer,,https://github.com/tinosulzer,Collaborators,,Yes
Yee Sian Ng,,http://orc.scripts.mit.edu/people/student.phpname=yeesian,Collaborators,,Yes
Zenna Tavares,,http://zenna.org,Collaborators,CSAIL,Yes
