date,title,link
2/10/2026,"Collin Wittenstein, Emmanuel Lujan, Andrew Inglis, Robert Metcalfe, Alan Edelman, and Hendrik Ranocha publish ""A Full Three-Dimensional GPU-Accelerated Model for Deep Borehole Heat Exchangers (DBHEs) Enabling Simulation of Well Arrays"" in the Proceedings of the 51st Workshop on Geothermal Reservoir Engineering",https://pangea.stanford.edu/ERE/db/GeoConf/papers/SGW/2026/Wittenstein.pdf
2/10/2026,"Robert Metcalfe, Emmanuel Lujan, Collin Wittenstein, Andrew Inglis, and Alan Edelman publish ""Arrays of Networked Standard Geothermal Wells"" in the Proceedings of the 51st Workshop on Geothermal Reservoir Engineering",https://pangea.stanford.edu/ERE/db/GeoConf/papers/SGW/2026/Metcalfe.pdf
1/6/2026,"Avik Pal et al. present ""Physics-Informed Neural Surrogates for Mesh-Invariant Modeling of High-Speed Flows"" at AIAA SciTech 2026",https://www.aiaa.org/SciTech
1/1/2026,"Carric publishes ""Toward Portable GPU Performance: Julia Recursive Implementation of TRMM and TRSM"" in Asynchronous Many-Task Systems and Applications",https://doi.org/10.1007/978-3-031-97196-9_13
10/14/2025,"Evelyne Ringoot and Rabab Alomairy publish ""A GPU-resident Memory-Aware Algorithm for Accelerating Bidiagonalization of Banded Matrices""",https://arxiv.org/abs/2510.12705
9/24/2025,"Bowen Zhu and Songchen Tan release ""Efficient Symbolic Computation via Hash Consing""",https://arxiv.org/abs/2509.20534
9/17/2025,"Emmanuel Lujan and Alan Edelman publish ""When Structure is Silent: Opportunities for Algorithmic Dispatch in Linear Algebra"" in the IEEE High Performance Extreme Computing Conference",https://doi.org/10.1109/HPEC67600.2025.11196484
9/14/2025,"Rushil N. Shah, Emmanuel Lujan, Rabab Alomairy, and Alan Edelman publish ""Data-Driven Dynamic Algorithm Dispatch with Large Language Models"" in the IEEE High Performance Extreme Computing Virtual Conference, where it received an Outstanding Short Paper Award",https://ieee-hpec.org/wp-content/uploads/2026/01/120.pdf
9/1/2025,"Ferguson et al. release ""The Future of Artificial Intelligence and the Mathematical and Physical Sciences (AI+MPS)""",https://arxiv.org/abs/2509.02661
8/11/2025,"Emmanuel Lujan presents ""Fast density functional theory for training machine learning interatomic potentials via large-scale atomistic sampling"" at the IAIFI Summer Workshop, Harvard University, co-authored with Rabab Alomairy and Spencer Wyant",https://iaifi.org/past-workshops.html
8/8/2025,"Evelyne Ringoot, Rabab Alomairy, and Valentin Churavy publish ""Performant Unified GPU Kernels for Portable Singular Value Computation Across Hardware and Precision""",https://arxiv.org/abs/2508.06339
7/23/2025,"Rushil Shah presents ""Automated Algorithm Selection Discovery via LLMs"" at JuliaCon 2025 (Lightning Talk), co-authored with Emmanuel Lujan and Rabab Alomairy",https://pretalx.com/juliacon-2025/talk/DH7MKC/
7/4/2025,"Vaibhav Dixit and David Hofmann co-author ""Scientific machine learning of chaotic systems discovers governing equations for neural populations""",https://arxiv.org/abs/2507.03631
7/1/2025,"Emmanuel Lujan, Rushil N. Shah, Rabab Alomairy, and Alan Edelman release ""SmartSolve.jl: AI for Algorithmic Discovery"" on Zenodo",https://zenodo.org/records/15784217
6/4/2025,"Utkarsh et al. release ""Physics-Constrained Flow Matching: Sampling Generative Models with Hard Constraints"" (NeurIPS 2025)",https://arxiv.org/abs/2506.04171
5/26/2025,"Avik Pal releases ""Semi-Explicit Neural DAEs: Learning Long-Horizon Dynamical Systems with Algebraic Constraints""",https://arxiv.org/abs/2505.20515
3/8/2025,"Rabab Alomairy presents ""Accelerating Neural Network Interatomic Potentials through Dimension Reduction Using Julia"" at Women in Data Science Cambridge, co-authored with Emmanuel Lujan, Spencer Wyant, Julian Samaroo, Joanna Zou, Ralf Meyer, and Alan Edelman",https://www.widscambridge.org/selected-posters-2024
2/12/2025,"Edwin Ouko, Emmanuel Lujan, Alan Edelman, and Robert Metcalfe publish ""Decision-Support and Modeling with Large Language Models for Geothermal Well Arrays"" in the Proceedings of the 50th Workshop on Geothermal Reservoir Engineering",https://pangea.stanford.edu/ERE/pdf/IGAstandard/SGW/2025/Ouko.pdf
2/1/2025,"Alomairy et al. publish ""Scalable Hamming Distance Computation Using Accelerated Matrix Transformations""",http://hdl.handle.net/10754/702459
2/1/2025,"Carlson et al. release ""C codegen considered unnecessary: go directly to binary, do not pass C. Compilation of Julia code for deployment..."" in arXiv",http://arxiv.org/abs/2502.01128
1/28/2025,"Songchen Tan releases ""Scalable higher-order nonlinear solvers via higher-order automatic differentiation""",https://arxiv.org/abs/2501.16895
12/1/2024,"Ekanathan et al. release ""A Fully Adaptive Radau Method for the Efficient Solution of Stiff Ordinary Differential Equations at Low Tolerances"" in arXiv",http://arxiv.org/abs/2412.14362
11/1/2024,"Edelman et al. release ""On the Limit of the Tridiagonal Model for β-Dyson Brownian Motion"" in arXiv",http://arxiv.org/abs/2411.01633
9/1/2024,"Bhagavan et al. publish ""DataInterpolations.jl: Fast Interpolations of 1D data"" in Journal of Open Source Software",https://joss.theoj.org/papers/10.21105/joss.06917
8/1/2024,"Diamandis and Angeris release ""Solving the Convex Flow Problem"" in arXiv",http://arxiv.org/abs/2408.11040
7/1/2024,"Flemming Holtorf and Frank Schaefer publish ""Performance Bounds for Quantum Feedback Control"" in IEEE Transactions on Automatic Control",https://doi.org/10.1109/TAC.2024.3416008
7/1/2024,"Hofmann et al. publish ""Increasing spectral DCM flexibility and speed by leveraging Julia’s ModelingToolkit and automated differentiation"" in bioRxiv",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10634910/
7/1/2024,"Iravanian et al. publish ""Hybrid Symbolic-Numeric and Numerically-Assisted Symbolic Integration""",https://dl.acm.org/doi/10.1145/3666000.3669714
6/14/2024,"Avik Pal and Frank Schaefer co-author ""Differentiable Programming for Differential Equations: A Review""",https://arxiv.org/abs/2406.09699
6/1/2024,"Edelman and Urschel publish ""Some New Results on the Maximum Growth Factor in Gaussian Elimination"" in SIAM Journal on Matrix Analysis and Applications",https://epubs.siam.org/doi/abs/10.1137/23M1571903
6/1/2024,"Edelman et al. release ""On a perturbation analysis of Higham squared maximum Gaussian elimination growth matrices"" in arXiv",http://arxiv.org/abs/2406.00737
5/1/2024,"Arnold et al. publish ""Mapping Out Phase Diagrams with Generative Classifiers"" in Physical Review Letters",https://link.aps.org/doi/10.1103/PhysRevLett.132.207301
5/1/2024,"Diamandis et al. release ""Convex Network Flows"" in arXiv",http://arxiv.org/abs/2404.00765
5/1/2024,"Utkarsh publishes ""Automating Heterogeneous Parallelism in Numerical Differential Equations""",https://dspace.mit.edu/handle/1721.1/155471
3/12/2024,"Avik Pal, Flemming Holtorf, Axel Larsson, Torkel Loman, Utkarsh, and Frank Schaefer release ""NonlinearSolve.jl: High-Performance and Robust Solvers for Systems of Nonlinear Equations in Julia""",https://arxiv.org/abs/2403.16341
3/1/2024,"Edelman et al. publish ""Backpropagation through Back Substitution with a Backslash"" in SIAM Journal on Matrix Analysis and Applications",https://epubs.siam.org/doi/abs/10.1137/22M1532871
3/1/2024,"Lang et al. publish ""SBMLToolkit.jl: a Julia package for importing SBML into the SciML ecosystem"" in Journal of Integrative Bioinformatics",https://www.degruyter.com/document/doi/10.1515/jib-2024-0003/html
